Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,B365H,B365D,B365A,idmatch,FTRfrench
2017-02-08,Metz,Dijon,H,2,1,2.5,3.2,3,Metz-Dijon,1
2017-02-08,Nice,St Etienne,H,1,0,2.05,3.4,3.8,Nice-St Etienne,1
2017-02-10,Bordeaux,Paris SG,A,0,3,5.5,4,1.62,Bordeaux-Paris SG,2
2017-02-11,Dijon,Caen,H,2,0,2.38,3.3,3.1,Dijon-Caen,1
2017-02-11,Guingamp,Lyon,H,2,1,3.7,3.6,2,Guingamp-Lyon,1
2017-02-11,Lille,Angers,A,1,2,1.91,3.2,4.75,Lille-Angers,2
2017-02-11,Monaco,Metz,H,5,0,1.22,6.5,13,Monaco-Metz,1
2017-02-11,Nancy,Montpellier,A,0,3,2.5,3.1,3.1,Nancy-Montpellier,2
2017-02-11,Toulouse,Bastia,H,4,1,1.83,3.3,5,Toulouse-Bastia,1
2017-02-12,Nantes,Marseille,H,3,2,3.25,3.1,2.38,Nantes-Marseille,1
2017-02-12,Rennes,Nice,D,2,2,2.63,3.1,2.88,Rennes-Nice,N
2017-02-12,St Etienne,Lorient,H,4,0,1.91,3.5,4.2,St Etienne-Lorient,1
2017-02-17,Bastia,Monaco,D,1,1,7,4.2,1.5,Bastia-Monaco,N
2017-02-18,Angers,Nancy,H,1,0,2.05,3.1,4.2,Angers-Nancy,1
2017-02-18,Caen,Lille,A,0,1,2.5,3,3.2,Caen-Lille,2
2017-02-18,Lorient,Nice,A,0,1,2.9,3.25,2.5,Lorient-Nice,2
2017-02-18,Marseille,Rennes,H,2,0,1.67,3.75,5.5,Marseille-Rennes,1
2017-02-18,Metz,Nantes,D,1,1,3.25,3,2.45,Metz-Nantes,N
2017-02-19,Bordeaux,Guingamp,H,3,0,1.91,3.5,4.2,Bordeaux-Guingamp,1
2017-02-19,Lyon,Dijon,H,4,2,1.36,4.75,9.5,Lyon-Dijon,1
2017-02-19,Montpellier,St Etienne,H,2,1,2.25,3.2,3.4,Montpellier-St Etienne,1
2017-02-19,Paris SG,Toulouse,D,0,0,1.2,6.5,15,Paris SG-Toulouse,N
2017-02-21,Caen,Nancy,H,1,0,2.15,3.2,3.75,Caen-Nancy,1
2017-02-24,Nantes,Dijon,H,3,1,1.73,3.6,5.25,Nantes-Dijon,1
2017-02-24,Nice,Montpellier,H,2,1,2.05,3.3,3.8,Nice-Montpellier,1
2017-02-25,Angers,Bastia,H,3,0,1.85,3.2,5,Angers-Bastia,1
2017-02-25,Guingamp,Monaco,A,1,2,5,3.75,1.73,Guingamp-Monaco,2
2017-02-25,Lille,Bordeaux,A,2,3,2.4,3.1,3.25,Lille-Bordeaux,2
2017-02-25,Nancy,Toulouse,D,0,0,2.7,3,2.88,Nancy-Toulouse,N
2017-02-25,Rennes,Lorient,H,1,0,2.05,3.4,3.75,Rennes-Lorient,1
2017-02-26,Lyon,Metz,H,5,0,1.22,7,12,Lyon-Metz,1
2017-02-26,Marseille,Paris SG,A,1,5,5.5,3.75,1.67,Marseille-Paris SG,2
2017-02-26,St Etienne,Caen,A,0,1,1.75,3.4,5.25,St Etienne-Caen,2
2017-03-01,Bastia,Nantes,D,2,2,3.3,2.9,2.5,Bastia-Nantes,N
2017-03-03,Bordeaux,Lyon,D,1,1,3.2,3.4,2.25,Bordeaux-Lyon,N
2017-03-04,Bastia,St Etienne,D,0,0,3.3,3.1,2.38,Bastia-St Etienne,N
2017-03-04,Caen,Angers,A,2,3,2.38,3.1,3.3,Caen-Angers,2
2017-03-04,Dijon,Nice,A,0,1,3.25,3.4,2.2,Dijon-Nice,2
2017-03-04,Metz,Rennes,D,1,1,3.2,3,2.5,Metz-Rennes,N
